ID,Age,Gender,Education,Major,Income,Occupation
1.70118E+12,NA,Female,High school diploma or equivalent,njaglajgnklsjfgnrg,NA,bhjnkol
1.70129E+12,46,Male,Bachelor's degree,Mechanical Engineer,230000,Principal Network Engineer
1.70129E+12,34,Female,Master's degree,Mathematics,75000,higher education administration
1.70129E+12,58,Male,Bachelor's degree,fine arts,68999,Real estate office manager
1.70129E+12,71,Female,Bachelor's degree,Anthropology,49000,Retired
1.70129E+12,35,Male,Master's degree,"Meteorology, Geography and Environmental Systems (bachelors and masters, respectively)",70000,Analyst
1.70129E+12,43,Male,Bachelor's degree,Political Science,74000,Tech Repair Shop Owner
1.70129E+12,62,Female,Bachelor's degree,computer science,54000,freelancer/independent contractor
1.70129E+12,37,Female,High school diploma or equivalent,NA,34000,Assistant Manager
1.7013E+12,45,Male,Non-university diploma/certificate,NA,79000,Manufacturing. (IT Manager)
1.7013E+12,38,Male,Bachelor's degree,engineer,8000,analyst
1.7013E+12,33,Male,Non-university diploma/certificate,Computer Science/Network Admin Certifications,58500,Salesforce Administrator
1.7013E+12,33,Male,Bachelor's degree,it,55000,computer specialist 
1.7013E+12,68,Male,High school diploma or equivalent,Physics,4999,Unemployed
1.7013E+12,70,Male,Non-university diploma/certificate,Life Science,49000,retired
1.7013E+12,36,Male,Bachelor's degree,economics,85000,office support
1.7013E+12,54,Male,Bachelor's degree,none,30000,Employee
1.7013E+12,29,Male,Bachelor's degree,IT/CS,90000,IT
1.7013E+12,32,Male,High school diploma or equivalent,NA,30000,server
1.7013E+12,23,Female,Bachelor's degree,literature,65000,sales analyst
1.7013E+12,41,Male,High school diploma or equivalent,n/a,35000,Transport Clerk
1.70233E+12,22,Female,High school diploma or equivalent,Criminal Justice ,64000,Consultant  
1.70233E+12,47,Female,Bachelor's degree,Biology/Math,230000,CEO
1.70233E+12,52,Female,Bachelor's degree,Business,62000,Ops Analyst
1.70233E+12,37,Male,Master's degree,Business administration,37949,Freelance Data Analyst
1.70233E+12,38,Male,High school diploma or equivalent,N/A,40000,Data Analyst
1.70233E+12,36,Male,Non-university diploma/certificate,Psych,15000,Data Entry 
1.70233E+12,67,Female,High school diploma or equivalent,N/A,19000,Retired
1.70233E+12,34,Female,Bachelor's degree,History,43996,Retail Manager
1.70233E+12,46,Female,Bachelor's degree,Business administration ,64000,Entrepreneur
1.70233E+12,62,Female,Bachelor's degree,Elementary Ed.,NA,housewife
1.70233E+12,42,Male,Bachelor's degree,education,75000,reshipping supervisor
1.70233E+12,29,Male,High school diploma or equivalent,N/A,49997,N/A
1.70233E+12,45,Male,High school diploma or equivalent,NA,NA,NA
1.70233E+12,41,Female,High school diploma or equivalent,NA,65000,Administrative Assistant
1.70233E+12,47,Female,Non-university diploma/certificate,Psychology,6000,Data annotation and yet unpaid fiction writing. 
1.70233E+12,30,Male,High school diploma or equivalent,NA,70000,Warehousing
1.70233E+12,32,Male,Master's degree,Psychology and Sociology,70000,I work in marketing.
1.70233E+12,37,Female,Non-university diploma/certificate,n/a,38000,self employed
1.70233E+12,49,Female,Bachelor's degree,psychology,120000,surgical technician
1.70233E+12,33,Female,Bachelor's degree,Anthropology & Geology,35000,Writer
1.70233E+12,44,Female,Master's degree,art,24999,self employed
1.70233E+12,38,Male,High school diploma or equivalent,na,40000,dairy manager
1.70233E+12,56,Male,Doctorate,Civil Engineering ,100000,Engineer
1.70233E+12,61,Female,Doctorate,Engineering,12000,seasonal government worker
1.70233E+12,42,Male,Bachelor's degree,English,65000,paralegal
1.70233E+12,38,Female,Bachelor's degree,art,55000,freelancer
1.70233E+12,41,Male,Bachelor's degree,Cultural Studies,100000,Analyst
1.70233E+12,37,Male,Master's degree,leadership,109000,finance manager
1.70233E+12,57,Female,High school diploma or equivalent,none,69999,factory worker
1.70233E+12,57,Male,Bachelor's degree,History/Earth Science,44998,Freelance auditing
1.70233E+12,38,Female,Bachelor's degree,NA,85000,NA
1.70233E+12,58,Male,Bachelor's degree,English,62999,Technician
1.70233E+12,39,Female,Bachelor's degree,biology,70000,banking
1.70233E+12,38,Female,High school diploma or equivalent,NA,75000,hotel management
1.70233E+12,43,Male,Non-university diploma/certificate,Math,45000,Office Services Site Manager
1.70233E+12,25,Female,Bachelor's degree,marketing,38000,real estate
1.70233E+12,29,Female,Bachelor's degree,Journalism and Mass Communication,48500,Communications Coordinator
1.70233E+12,56,Male,Master's degree,finance,45000,option trader
1.70233E+12,40,Male,Bachelor's degree,Business Administration,25000,Accounting
1.70233E+12,29,Male,Bachelor's degree,Operations Research,6000,Server
1.70233E+12,69,Female,Doctorate,Horticulture,197998,Retired from higher education
1.70233E+12,35,Male,Bachelor's degree,Computer Science,85000,Manager
1.70233E+12,39,Male,High school diploma or equivalent,Computer Sciences,110000,IT Engineer
1.70233E+12,26,Male,Bachelor's degree,business management,30000,community manager
1.70233E+12,31,Male,High school diploma or equivalent,NA,NA,NA
1.70233E+12,54,Male,Bachelor's degree,Biology,250000,Client Relationship Manager
1.70233E+12,43,Male,Doctorate,Law,85000,Compliance Officer
1.70233E+12,35,Male,Non-university diploma/certificate,NA,31000,CNA
1.70233E+12,36,Male,High school diploma or equivalent,NA,64999,Housekeeper
1.70233E+12,40,Male,Non-university diploma/certificate,computer science,41000,registration manager
1.70233E+12,25,Male,High school diploma or equivalent,N/A,28000,Online Sales
1.70233E+12,41,Female,Bachelor's degree,Economics,65000,Manager
1.70233E+12,35,Female,High school diploma or equivalent,art history / photography,50000,freelancer
1.70233E+12,33,Male,High school diploma or equivalent,n/a,39999,sales
1.70233E+12,42,Male,Master's degree,Chemistry,130000,Chemist
1.70233E+12,25,Male,Bachelor's degree,Accounting,98000,Accountant
1.70233E+12,62,Male,Master's degree,Mechanical Engineering,85000,Engineer
1.70233E+12,29,Prefer not to say,Bachelor's degree,Business,70000,Director
1.70233E+12,42,Male,Bachelor's degree,Law and Justice,80000,Real Estate Agent
1.70233E+12,34,Male,Bachelor's degree,American History,100000,Editor
1.70233E+12,50,Female,Non-university diploma/certificate,legal assisting,24000,secretary
1.70233E+12,33,Male,Non-university diploma/certificate,Political Science ,47,Food service
1.70233E+12,26,Female,Bachelor's degree,IT Tech,45000,IT Manager
1.70233E+12,36,Female,Bachelor's degree,Leadership,24000,Manager
1.70233E+12,36,Female,Bachelor's degree,English,50000,Retail
1.70233E+12,38,Female,High school diploma or equivalent,NA,32000,food service
1.70233E+12,27,Female,Non-university diploma/certificate,Business,45000,office secretary
1.70233E+12,35,Male,High school diploma or equivalent,N/A,42000,Sales
1.70233E+12,33,Male,Bachelor's degree,Business Administration,57000,Billing Analyst
1.70233E+12,36,Female,Master's degree,Psychology,40000,"unemployed, formerly retail associate"
1.70233E+12,35,Male,High school diploma or equivalent,business,120000,Senior Sales Analyst
1.70233E+12,51,Female,Bachelor's degree,Business Administration ,NA,Business analyst
1.70233E+12,30,Male,High school diploma or equivalent,n/a,115000,construction
1.70233E+12,30,Male,Bachelor's degree,Music,45000,Welder
1.70233E+12,44,Male,Non-university diploma/certificate,IT security / IT,74000,IT Engineer
1.70233E+12,28,Female,High school diploma or equivalent,NA,1000,Self-employed
1.70233E+12,41,Male,Bachelor's degree,Electrical Engineering,47000,Electronic Repair
1.70233E+12,64,Male,High school diploma or equivalent,none,63000,Construction project manager.
1.70233E+12,55,Male,Non-university diploma/certificate,REGISTERED NURSE,40,HHA
1.70233E+12,34,Female,Less than a high school diploma,none,59999,self employed
1.70233E+12,28,Female,Bachelor's degree,English,40000,Book Editor
