ID,Feedback
1.70E+12,"fake answers
"
1.70E+12,none
1.70E+12,NA
1.70E+12,none
1.70E+12,NA
1.70E+12,I enjoyed this and would gladly do something similar again. 
1.70E+12,NA
1.70E+12,NA
1.70E+12,No but thank you.
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,no
1.70E+12,It went smoothly.
1.70E+12,NA
1.70E+12,thanks
1.70E+12,good
1.70E+12,"Nothing to add, thank you."
1.70E+12,NA
1.70E+12,NA
1.70E+12,It was a fun task to take part in.
1.70E+12,I thought the survey was quick and easy to comprehend.
1.70E+12,NA
1.70E+12,The instructions were a little difficult to follow.
1.70E+12,NA
1.70E+12,nope
1.70E+12,n/a
1.70E+12,NA
1.70E+12,I have nothing to add here.
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,This was very well-designed.
1.70E+12,NA
1.70E+12,No
1.70E+12,I feel like I should have gotten 100% on all of them. 0_0
1.70E+12,NA
1.70E+12,NA
1.70E+12,none
1.70E+12,no feedback thank you
1.70E+12,Redo those instructions or give a walk through example.
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,None
1.70E+12,NA
1.70E+12,no
1.70E+12,none
1.70E+12,NA
1.70E+12,n/a
1.70E+12,NA
1.70E+12,nope
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,I should have been told what the accumulated bonus payment will be based on performance.
1.70E+12,No.
1.70E+12,Thank you for the opportunity to participate.  This survey was unique and fun.
1.70E+12,"Great Study, hope to do more in the future."
1.70E+12,None
1.70E+12,NA
1.70E+12,NA
1.70E+12,"I have to be honest, I couldn't figure out what to do, I am terribly sorry."
1.70E+12,No
1.70E+12,Why did I get no points in the game?
1.70E+12,No comments to add.
1.70E+12,"none, thanks"
1.70E+12,NA
1.70E+12,This was an interesting and unique survey to take.
1.70E+12,NA
1.70E+12,n/a
1.70E+12,Nothing I can think of
1.70E+12,NA
1.70E+12,No comments.
1.70E+12,NA
1.70E+12,n/a- thanks
1.70E+12,NA
1.70E+12,NA
1.70E+12,No feedback
1.70E+12,none
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,N/A
1.70E+12,No issues to report.
1.70E+12,NA
1.70E+12,I think it would help to add a unit of measurement to the expiration deadline part or explain that farther. I had no idea what was happening the first few rounds even with the practice round.
1.70E+12,no
1.70E+12,NA
1.70E+12,none
1.70E+12,I guess better instructions would help.
1.70E+12,Thank you. I would love to do this again now that I know the methods. lol
1.70E+12,"Fun study, I enjoyed it a lot. Thanks and have a great day! :)"
1.70E+12,NA
1.70E+12,none
1.70E+12,INTERESTING AND MYSTERIOUS
1.70E+12,NA
1.70E+12,none
1.70E+12,NA
1.70E+12,NA
1.70E+12,No.
1.70E+12,NA
1.70E+12,No thank you. 
1.70E+12,The instructions were super confusing and I had no idea really what I was doing.
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,NA
1.70E+12,"Nothing, thank you!"
1.70E+12,NA
1.70E+12,Thank you
1.70E+12,NA
1.70E+12,NA
1.70E+12,No
1.70E+12,"it was interesting, thanks!"
1.70E+12,NA
1.70E+12,NA
1.70E+12,"I couldn't tell why sometimes it would accept the order I gave and sometimes it didn't. In almost all instances, my scores seemed lower than they should have based on my understanding of the game. "
1.70E+12,NOne
1.70E+12,NA
1.70E+12,NA
1.70E+12,I don't think I've 100% understood how to play the game.
1.70E+12,NA
