ID,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus
1.70118E+12,28-11-2023 10:05,19-01-2024 15:47,o1OO93-qwzIEvLqTuqOtx,0
1.70129E+12,29-11-2023 16:42,29-11-2023 16:52,v4F4iaauDVmNqNvQ9eBlV,1
1.70129E+12,29-11-2023 16:42,29-11-2023 16:53,Kr4hTwwkAKw2MgSxmx0xL,1
1.70129E+12,29-11-2023 16:43,29-11-2023 16:48,HpkYN8r6cHKqQ1VJNvzJx,0.22
1.70129E+12,29-11-2023 16:44,29-11-2023 16:50,Ehy1g_odWASqJimJvVYBy,0.84
1.70129E+12,29-11-2023 16:45,29-11-2023 17:32,FjGYooakbuS7fedLe6d0F,0.88
1.70129E+12,29-11-2023 16:49,29-11-2023 16:58,F-287bqt9vNwQVhTJaFMY,0.71
1.70129E+12,29-11-2023 16:50,29-11-2023 17:04,NPk7bKqirTnWjcDViUjSV,1
1.70129E+12,29-11-2023 16:51,29-11-2023 17:00,B0eBVP_vkzetYRx3LM6kB,1
1.7013E+12,29-11-2023 16:59,29-11-2023 17:03,W8hMMLdQVNj_NrQUDXEw6,0.75
1.7013E+12,29-11-2023 16:59,29-11-2023 17:03,6qe5iEYfgvuX6ROckNbAD,1
1.7013E+12,29-11-2023 17:00,29-11-2023 17:13,YaI5GfIDgaFv6VqzozdQE,0.91
1.7013E+12,29-11-2023 17:02,29-11-2023 17:08,2k9udVFfc8Ihji-sxijBw,0.98
1.7013E+12,29-11-2023 17:04,29-11-2023 17:27,jIS6rXevxYfAEQz5_qLzz,0.96
1.7013E+12,29-11-2023 17:09,29-11-2023 17:28,#NAME?,0.4
1.7013E+12,29-11-2023 17:16,29-11-2023 17:24,cuDJ7duRZVvSIlHRC88WL,0
1.7013E+12,29-11-2023 17:42,29-11-2023 17:50,0LSJK9pM7wa9GpdU45Sx8,0.84
1.7013E+12,29-11-2023 17:49,29-11-2023 18:12,jE8BuDsRRZyeMGP80OSRm,0.8
1.7013E+12,29-11-2023 17:56,29-11-2023 18:01,Dw6OFnNxzCnUKwNPZpow_,1
1.7013E+12,29-11-2023 18:47,29-11-2023 18:50,VSBsNieHCfSyvy9xH2nN9,0.68
1.7013E+12,29-11-2023 19:07,29-11-2023 19:17,DJxxUyKgh_KRnojryn4nb,0.7
1.70233E+12,11-12-2023 16:33,11-12-2023 16:40,30xdI3d6WsYVTIm3DZlwq,0.66
1.70233E+12,11-12-2023 17:12,11-12-2023 17:19,pRHVZUNXPX66cR7hCmQK_,1
1.70233E+12,11-12-2023 17:13,11-12-2023 17:27,0dluvac-Gq_5p82KNWG5I,0.82
1.70233E+12,11-12-2023 17:13,11-12-2023 17:20,sj6PCW28-0-1DAI0X5kme,0.78
1.70233E+12,11-12-2023 17:13,11-12-2023 17:20,wnj_Trc5h8kiCFh96jw5t,0.99
1.70233E+12,11-12-2023 17:13,11-12-2023 17:19,Sr64fOkrodpf_SdHspxEI,0.99
1.70233E+12,11-12-2023 17:13,11-12-2023 17:31,_khWgDQEWrPZwIWofNKZG,1
1.70233E+12,11-12-2023 17:13,11-12-2023 17:25,wV4cbnMdQ6kZ-ZXrjBgJk,0.93
1.70233E+12,11-12-2023 17:13,11-12-2023 17:22,dj30qlvuBcydLzZ2ZEPLk,0.9
1.70233E+12,11-12-2023 17:13,11-12-2023 17:17,iWgh6YI9kqD68FIRTU0yi,0.55
1.70233E+12,11-12-2023 17:13,11-12-2023 17:18,YV7gph_97YRYGkmRK1Ttk,0.52
1.70233E+12,11-12-2023 17:13,11-12-2023 17:22,fxLkKrk6TZ0MKOQsqHtQs,1
1.70233E+12,11-12-2023 17:13,11-12-2023 17:28,bPwxv64BDYVWH75pOkdHO,0.26
1.70233E+12,11-12-2023 17:13,11-12-2023 17:24,AiHXA38RAHClXRqbVYoQS,0
1.70233E+12,11-12-2023 17:21,11-12-2023 17:35,4F7eGo4kGVfiUm00Fdui-,1
1.70233E+12,11-12-2023 17:13,11-12-2023 17:20,o2Pmh8e4Fb19vYv5gfohB,0.85
1.70233E+12,11-12-2023 17:13,11-12-2023 17:18,Au88HOguGg7YPrgCZexZ8,0.4
1.70233E+12,11-12-2023 17:13,11-12-2023 17:18,znk8Fd-Ii62cWUgXia0ep,0.7
1.70233E+12,11-12-2023 17:13,11-12-2023 17:18,U1zm7MSbGF6TO2nYpUXrc,0.68
1.70233E+12,11-12-2023 17:16,11-12-2023 17:25,IZ4X00SKb0MIL7Dy3vstE,0.67
1.70233E+12,11-12-2023 17:13,11-12-2023 17:17,O3C2Y_4K8Ka1q9t12Nixr,0.31
1.70233E+12,11-12-2023 17:13,11-12-2023 17:28,w5JuRm5NYnd_7U3X82BIk,1
1.70233E+12,11-12-2023 17:13,11-12-2023 17:40,CpAjZWYfsjGrRu4MlMIho,0.22
1.70233E+12,11-12-2023 17:13,11-12-2023 17:22,ZSDID_OKZlZOJCK9II7vr,0.83
